NAME                     INSTALLED                         FIXED-IN                                    TYPE    VULNERABILITY        SEVERITY   
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10097       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10081       Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2019-0217        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.18                           deb     CVE-2017-9798        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.17                           deb     CVE-2017-9788        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-7668        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-3169        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-3167        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-8743        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.13                           deb     CVE-2016-5387        Medium      
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-0736        Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2006-20001       Medium      
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-43622       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-31122       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22721       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-45960       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-35452       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-1934        Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-1927        Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-13950       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-11985       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10098       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10092       Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10082       Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2019-0220        Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2018-20843       Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2018-17199       Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1312        Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1303        Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1301        Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1283        Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-7679        Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2017-15715       Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2017-15710       Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-4975        Low         
apache2-data             2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-2161        Low         
apache2-data             2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-20325       Negligible  
apt                      1.0.1ubuntu2.10                   1.0.1ubuntu2.19                             deb     CVE-2019-3462        High        
apt                      1.0.1ubuntu2.10                   1.0.1ubuntu2.17                             deb     CVE-2016-1252        High        
apt                      1.0.1ubuntu2.10                   (won't fix)                                 deb     CVE-2020-3810        Medium      
apt                      1.0.1ubuntu2.10                   (won't fix)                                 deb     CVE-2020-27350       Medium      
apt-utils                1.0.1ubuntu2.10                   1.0.1ubuntu2.19                             deb     CVE-2019-3462        High        
apt-utils                1.0.1ubuntu2.10                   1.0.1ubuntu2.17                             deb     CVE-2016-1252        High        
apt-utils                1.0.1ubuntu2.10                   (won't fix)                                 deb     CVE-2020-3810        Medium      
apt-utils                1.0.1ubuntu2.10                   (won't fix)                                 deb     CVE-2020-27350       Medium      
bash                     4.3-7ubuntu1.5                    (won't fix)                                 deb     CVE-2022-3715        Medium      
bash                     4.3-7ubuntu1.5                    4.3-7ubuntu1.7                              deb     CVE-2016-7543        Medium      
bash                     4.3-7ubuntu1.5                    (won't fix)                                 deb     CVE-2012-6711        Medium      
bash                     4.3-7ubuntu1.5                    (won't fix)                                 deb     CVE-2019-18276       Low         
bash                     4.3-7ubuntu1.5                    4.3-7ubuntu1.7                              deb     CVE-2016-0634        Low         
bash                     4.3-7ubuntu1.5                    4.3-7ubuntu1.7                              deb     CVE-2016-9401        Negligible  
bsdutils                 1:2.20.1-5.1ubuntu20.7                                                        deb     CVE-2017-2616        Medium      
bsdutils                 1:2.20.1-5.1ubuntu20.7            (won't fix)                                 deb     CVE-2021-37600       Low         
bsdutils                 1:2.20.1-5.1ubuntu20.7            (won't fix)                                 deb     CVE-2020-21583       Low         
bsdutils                 1:2.20.1-5.1ubuntu20.7                                                        deb     CVE-2016-5011        Low         
bsdutils                 1:2.20.1-5.1ubuntu20.7                                                        deb     CVE-2014-9114        Low         
bsdutils                 1:2.20.1-5.1ubuntu20.7                                                        deb     CVE-2013-0157        Low         
busybox-initramfs        1:1.21.0-1ubuntu1                 (won't fix)                                 deb     CVE-2023-42366       Medium      
busybox-initramfs        1:1.21.0-1ubuntu1                 (won't fix)                                 deb     CVE-2023-42365       Medium      
